"sf__Id","sf__Error","Id","TaskSubtype"
"00TVo00001EBmXFMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXFMA1","Call"
"00TVo00001EBmXGMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXGMA1","Call"
"00TVo00001EBmXHMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXHMA1","Call"
"00TVo00001EBmXIMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXIMA1","Call"
"00TVo00001EBmXJMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXJMA1","Call"
"00TVo00001EBmXKMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXKMA1","Call"
"00TVo00001EBmXLMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXLMA1","Call"
"00TVo00001EBmXMMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXMMA1","Call"
"00TVo00001EBmXNMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXNMA1","Call"
"00TVo00001EBmXOMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXOMA1","Call"
"00TVo00001EBmXPMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXPMA1","Call"
"00TVo00001EBmXQMA1","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EBmXQMA1","Call"
